"","region","object of transaction","address","total area transfer","land type_in city","land type_not in city","Land use zoning detailed map of non-urban area","date","number of buildings","transfer floor","total floors","type of building","main uses","main building materials","time of completion","total area","number of living rooms","number of dining  rooms","number of restrooms","has compartment","has management organization","selling price","selling price per square meter","parking category","total parking area transfer","parking price"
"1","文山區","房地(土地+建物)","臺北市文山區仙岩路58巷1~30號",32.1,"住",NA,NA,10307,"土地1建物1車位0","四層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",NA,96.02,3,2,2,"有","無",13160000,137055,"",0,0
"2","文山區","房地(土地+建物)","臺北市文山區景興路241~270號",6.05,"商",NA,NA,10309,"土地1建物1車位0","十層",12,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",910408,61.23,5,1,1,"有","有",10300000,168218,"",0,0
"3","文山區","房地(土地+建物)+車位","臺北市文山區木柵路三段61~90號",19.49,"商",NA,NA,10309,"土地1建物1車位2","五層",26,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1030609,278.75,4,2,2,"有","有",35580000,165219,"坡道平面",87.62,4000000
"4","文山區","車位","臺北市文山區景華街121~150號",4.48,"住",NA,NA,10310,"土地0建物0車位1","地下二層",10,"其他","停車空間","鋼骨鋼筋混凝土造",910821,52.51,0,0,0,"有","有",3400000,NA,"坡道平面",0,3400000
"5","文山區","房地(土地+建物)+車位","臺北市文山區和平東路四段88巷1~30號",33.63,"住",NA,NA,10309,"土地1建物1車位1","一層，夾層",6,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",861230,132,3,2,2,"有","有",15800000,119697,"坡道平面",35.27,0
"6","中正區","房地(土地+建物)","臺北市中正區中華路二段311巷31~60號",10.53,"住",NA,NA,10310,"土地1建物1車位0","四層",5,"套房(1房1廳1衛)","","加強磚造",560519,25.63,1,1,1,"有","無",4020000,156847,"",0,0
"7","中正區","房地(土地+建物)","臺北市中正區中華路二段313巷1~30號",14.74,"住",NA,NA,10309,"土地1建物1車位0","五層",5,"套房(1房1廳1衛)","住家用","加強磚造",NA,35.11,2,1,1,"有","無",4800000,136713,"",0,0
"8","文山區","房地(土地+建物)","臺北市文山區辛亥路五段118巷1~30號",75,"住",NA,NA,10309,"土地1建物1車位0","全",2,"透天厝","住家用","加強磚造",NA,101.74,3,2,2,"有","無",23500000,230981,"",0,0
"9","中正區","車位","臺北市中正區晉江街72巷1~30號",3.52,"住",NA,NA,10310,"土地0建物0車位1","三層",6,"其他","住家用","鋼筋混凝土造",870914,5.7,0,0,0,"有","有",1180000,NA,"坡道機械",5.7,1180000
"10","文山區","房地(土地+建物)+車位","臺北市文山區政大二街151~180號",127.16,"住",NA,NA,10308,"土地1建物1車位1","全",3,"透天厝","住家用","鋼筋混凝土造",850106,264.06,5,3,4,"有","有",31800000,120427,"坡道平面",0,0
